id,_type,applicableUnit,altLabel,inScheme,prefLabel,topConceptOf,dc_type,definition,note,scopeNote,relevantLZS,relevantProperty,maxValue,operatie,minValue,subject,relevantQuantityKind,seeAlso,relevantCodeList,technischefiche,referentiewaardeType,broader,broaderTransitive,narrower,narrowerTransitive,semanticRelation,code,hasTopConcept
https://data.omgeving.vlaanderen.be/id/concept/lzs/norm_bandbreedte/_11,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Spuiwaterdebiet afwijking naar beneden > 10% (S2 systeem),https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Onder minimum grenswaarde,Het spuiwaterdebiet wijkt meer dan 10% naar beneden af van de operationele waarde die op de technische fiche vermeld staat.,"Het spuiwaterdebiet wijkt meer dan 10% naar beneden af van de operationele waarde die op de technische fiche vermeld staat.|< 0,9 x waarde technische fiche (afwijking > 10%)","< 0,9 x waarde technische fiche (afwijking > 10%)",https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s2,https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/spuiwaterproductie,0.9,product,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/norm_bandbreedte/_12,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Drukval afwijking naar beneden > 40% (S2 systeem),https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Onder minimum grenswaarde,De drukval wijkt meer dan 40% naar beneden af van de operationele waarde die op de technische fiche vermeld staat.,"De drukval wijkt meer dan 40% naar beneden af van de operationele waarde die op de technische fiche vermeld staat.|< 0,6 x waarde technische fiche (afwijking > 40%)","< 0,6 x waarde technische fiche (afwijking > 40%)",https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s2,https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/drukvaloverhetsysteem,0.6,product,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/norm_bandbreedte/_13,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Drukval afwijking naar boven > 40% (S2 systeem),https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Boven maximum grenswaarde,De drukval wijkt meer dan 40% naar boven af van de operationele waarde die op de technische fiche vermeld staat.,"De drukval wijkt meer dan 40% naar boven af van de operationele waarde die op de technische fiche vermeld staat.|> 1,4 x waarde technische fiche (afwijking > 40%)","> 1,4 x waarde technische fiche (afwijking > 40%)",https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s2,https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/drukvaloverhetsysteem,null,product,1.4,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/norm_bandbreedte/_14,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Waswaterdebiet voorbevochtiging afwijking naar beneden > 20% (S3 systeem),https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Onder minimum grenswaarde,Het waswaterdebiet van de voorbevochtiging wijkt meer dan 20% naar beneden af van de operationele waarde die op de technische fiche vermeld staat.,"< 0,8 x waarde technische fiche (afwijking > 20%)|Het waswaterdebiet van de voorbevochtiging wijkt meer dan 20% naar beneden af van de operationele waarde die op de technische fiche vermeld staat.","< 0,8 x waarde technische fiche (afwijking > 20%)",https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s3,https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/waswaterdebietvoorbevochtiging,0.8,product,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/norm_bandbreedte/_15,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Waswaterdebiet bevloeiing afwijking naar beneden > 20% (S3 systeem),https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Onder minimum grenswaarde,Het waswaterdebiet van de bevloeiing wijkt meer dan 20% naar beneden af van de operationele waarde die op de technische fiche vermeld staat.,"< 0,8 x waarde technische fiche (afwijking > 20%)|Het waswaterdebiet van de bevloeiing wijkt meer dan 20% naar beneden af van de operationele waarde die op de technische fiche vermeld staat.","< 0,8 x waarde technische fiche (afwijking > 20%)",https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s3,https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/waswaterdebietbevloeiing,0.8,product,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/norm_bandbreedte/_16,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Drukval afwijking naar boven > 50 Pa (S3 systeem),https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Boven maximum grenswaarde,De drukval wijkt meer dan 50 Pa naar boven af van de operationele waarde die op de technische fiche vermeld staat.,De drukval wijkt meer dan 50 Pa naar boven af van de operationele waarde die op de technische fiche vermeld staat.|> 50 Pa + waarde technische fiche (afwijking > 50 Pa),> 50 Pa + waarde technische fiche (afwijking > 50 Pa),https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s3,https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/drukvaloverhetsysteem,null,som,50,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/norm_bandbreedte/_2,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,"Zuurtegraad waswater > 8,5 (S1 systeem)",https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Boven maximum grenswaarde,"De zuurtegraad van het waswater is groter dan 8,5","De zuurtegraad van het waswater is groter dan 8,5|> 8,5","> 8,5",https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s1,https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/zuurtegraadwaswater,null,null,8.5,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/norm_bandbreedte/_3,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Geleidbaarheid waswater > maximale waarde (S1 systeem),https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Boven maximum grenswaarde,De geleidbaarheid is groter dan de maximale operationele waarde die op de technische fiche vermeld staat.,De geleidbaarheid is groter dan de maximale operationele waarde die op de technische fiche vermeld staat.|> waarde technische fiche,> waarde technische fiche,https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s1,https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/geleidbaarheidvanhetwaswater,null,som,0,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/norm_bandbreedte/_4,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Waswaterdebiet afwijking naar beneden > 20% (S1 systeem),https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Onder minimum grenswaarde,Het waswaterdebiet wijkt meer dan 20% naar beneden af van de operationele waarde die op de technische fiche vermeld staat.,"Het waswaterdebiet wijkt meer dan 20% naar beneden af van de operationele waarde die op de technische fiche vermeld staat.|< 0,8 x waarde technische fiche (afwijking > 20%)","< 0,8 x waarde technische fiche (afwijking > 20%)",https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s1,https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/waswaterdebiet,0.8,product,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/norm_bandbreedte/_5,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Spuiwaterdebiet afwijking naar beneden > 10% (S1 systeem),https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Onder minimum grenswaarde,Het spuiwaterdebiet wijkt meer dan 10% naar beneden af van de operationele waarde die op de technische fiche vermeld staat.,"Het spuiwaterdebiet wijkt meer dan 10% naar beneden af van de operationele waarde die op de technische fiche vermeld staat.|< 0,9 x waarde technische fiche (afwijking > 10%)","< 0,9 x waarde technische fiche (afwijking > 10%)",https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s1,https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/spuiwaterproductie,0.9,product,null,null,null,null,null,null,null,null,null,null,null,null,null,null
